"","model_sim","model_fit","sub","iter","ll","AIC","AICc","BIC","k","offsetIN","omegaIN","lambdaIN","rhoIN","offsetOUT","omegaOUT","lambdaOUT","rhoOUT"
"12","full_offset","perc_offset","120",12,128.457585337762,260.915170675525,261.278807039161,264.082208552437,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.337448559670782,NA,NA,0.438271604938272
"13","full_offset","perc_offset","120",13,157.357493502678,318.714987005355,319.078623368992,321.882024882268,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.345679012345679,NA,NA,0.372427983539095
"14","full_offset","perc_offset","120",14,122.535391090623,249.070782181246,249.434418544882,252.237820058158,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.312757201646091,NA,NA,0.228395061728395
"15","full_offset","perc_offset","120",15,133.479563521864,270.959127043727,271.322763407364,274.126164920639,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.320987654320988,NA,NA,0.200045724737068
"16","full_offset","perc_offset","120",16,133.595040002213,271.190080004426,271.553716368062,274.357117881338,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.320987654320988,NA,NA,0.623456790123457
"17","full_offset","perc_offset","120",17,146.700997705476,297.401995410952,297.765631774589,300.569033287864,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.329218106995885,NA,NA,0.993827160493827
"18","full_offset","perc_offset","120",18,147.002607815869,298.005215631739,298.368851995375,301.172253508651,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.345679012345679,NA,NA,0.351851851851852
"19","full_offset","perc_offset","120",19,143.412532504903,290.825065009806,291.188701373443,293.992102886719,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.320987654320988,NA,NA,0.302469135802469
"20","full_offset","perc_offset","120",20,137.246793026859,278.493586053718,278.857222417355,281.66062393063,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.37037037037037,NA,NA,0.685185185185185
"21","full_offset","perc_offset","120",21,150.751074985707,305.502149971413,305.86578633505,308.669187848326,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.334705075445816,NA,NA,0.236625514403292
"22","full_offset","perc_offset","120",22,165.859175220386,335.718350440772,336.081986804409,338.885388317684,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.353909465020576,NA,NA,0.302469135802469
"23","full_offset","perc_offset","120",23,139.109828463069,282.219656926138,282.583293289774,285.38669480305,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.296296296296296,NA,NA,0.61522633744856
"24","full_offset","perc_offset","120",24,135.063153892749,274.126307785498,274.489944149135,277.293345662411,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.37037037037037,NA,NA,0.388888888888889
"25","full_offset","perc_offset","120",25,159.313705537588,322.627411075177,322.991047438813,325.794448952089,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.345679012345679,NA,NA,0.166666457591509
"26","full_offset","perc_offset","120",26,138.558598588887,281.117197177773,281.48083354141,284.284235054685,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.296296296296296,NA,NA,0.388888888888889
"27","full_offset","perc_offset","120",27,128.356621304325,260.71324260865,261.076878972286,263.880280485562,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.320998944379527,NA,NA,0.574074074074074
"28","full_offset","perc_offset","120",28,134.57948470872,273.158969417439,273.522605781076,276.326007294352,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.320987654320988,NA,NA,0.425925925925926
"29","full_offset","perc_offset","120",29,152.795659847714,309.591319695428,309.954956059065,312.758357572341,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.320987654320988,NA,NA,0.510973936899863
"30","full_offset","perc_offset","120",30,144.293307586212,292.586615172424,292.95025153606,295.753653049336,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.320987654320988,NA,NA,0.199588477366255
"31","full_offset","full_offset","120",1,116.83693396456,241.673867929121,242.964190509766,248.007943682945,NA,0.320987654320988,NA,NA,0.199588477366255,-0.172839506172839,0.424554183813443,6.46776406036059,0.318980846415689
