"","sub","rr","alpha","model"
"32","2nzfnkk2uulwmkz","25",0.199457828619588,"rw_base"
"33","2nzfnkk2uulwmkz","50",5.84315592619642e-17,"rw_base"
"34","2nzfnkk2uulwmkz","50",5.84315592619642e-17,"rw_base"
"35","2nzfnkk2uulwmkz","75",0.155688230768126,"rw_base"
"36","2nzfnkk2uulwmkz","75",0.155688230768126,"rw_base"
"37","2qu63bjtm9kxnnb","25",0.805206157769547,"rw_base"
"38","2qu63bjtm9kxnnb","25",0.805206157769547,"rw_base"
"39","2qu63bjtm9kxnnb","50",0.937918683630033,"rw_base"
"40","2qu63bjtm9kxnnb","50",0.937918683630033,"rw_base"
"41","2qu63bjtm9kxnnb","75",0.15408939834247,"rw_base"
"42","2qu63bjtm9kxnnb","75",0.15408939834247,"rw_base"
"43","2usnf1r3h88bett","25",0.54653745610238,"rw_base"
"44","2usnf1r3h88bett","25",0.54653745610238,"rw_base"
"45","2usnf1r3h88bett","50",0.114460107251122,"rw_base"
"46","2usnf1r3h88bett","50",0.114460107251122,"rw_base"
"47","2usnf1r3h88bett","75",0.330875938348561,"rw_base"
"48","2usnf1r3h88bett","75",0.330875938348561,"rw_base"
"49","34aswcgc3uv5ln0","25",0.593114140909866,"rw_base"
"50","34aswcgc3uv5ln0","25",0.593114140909866,"rw_base"
"51","34aswcgc3uv5ln0","50",5.84315592619642e-17,"rw_base"
"52","34aswcgc3uv5ln0","50",5.84315592619642e-17,"rw_base"
"53","34aswcgc3uv5ln0","75",0.113440687180589,"rw_base"
"54","34aswcgc3uv5ln0","75",0.113440687180589,"rw_base"
"55","35q8u5ekgfaq26g","25",0.189032365554626,"rw_base"
"56","35q8u5ekgfaq26g","25",0.189032365554626,"rw_base"
"57","35q8u5ekgfaq26g","50",0.088485037506625,"rw_base"
"58","35q8u5ekgfaq26g","50",0.088485037506625,"rw_base"
"59","35q8u5ekgfaq26g","75",0.179063755797731,"rw_base"
"60","35q8u5ekgfaq26g","75",0.179063755797731,"rw_base"
"61","3jrram86yd3uhgb","25",0.124762561185558,"rw_base"
"62","3jrram86yd3uhgb","25",0.124762561185558,"rw_base"
"63","3jrram86yd3uhgb","50",1.70277255980538e-14,"rw_base"
"64","3jrram86yd3uhgb","50",1.70277255980538e-14,"rw_base"
"65","3jrram86yd3uhgb","75",0.0692053209382582,"rw_base"
"66","3jrram86yd3uhgb","75",0.0692053209382582,"rw_base"
"67","3t9q259awsqqnjn","25",0.140713978764423,"rw_base"
"68","3t9q259awsqqnjn","25",0.140713978764423,"rw_base"
"69","3t9q259awsqqnjn","50",0.0356907483193711,"rw_base"
"70","3t9q259awsqqnjn","50",0.0356907483193711,"rw_base"
"71","3t9q259awsqqnjn","75",0.156325856667156,"rw_base"
"72","3t9q259awsqqnjn","75",0.156325856667156,"rw_base"
"73","4g3g9s2nj7eh7g9","25",0.148560350720824,"rw_base"
"74","4g3g9s2nj7eh7g9","25",0.148560350720824,"rw_base"
"75","4g3g9s2nj7eh7g9","50",2.4569183491972e-15,"rw_base"
"76","4g3g9s2nj7eh7g9","50",2.4569183491972e-15,"rw_base"
"77","4g3g9s2nj7eh7g9","75",0.340726683919762,"rw_base"
"78","4g3g9s2nj7eh7g9","75",0.340726683919762,"rw_base"
"79","4ns4fa2xqw95lgx","25",0.138028996008081,"rw_base"
"80","4ns4fa2xqw95lgx","25",0.138028996008081,"rw_base"
"81","4ns4fa2xqw95lgx","50",0.0368725070764707,"rw_base"
"82","4ns4fa2xqw95lgx","50",0.0368725070764707,"rw_base"
"83","4ns4fa2xqw95lgx","75",0.143644568017396,"rw_base"
"84","4ns4fa2xqw95lgx","75",0.143644568017396,"rw_base"
"85","4tcxev3874jk89a","25",0.0530068854979944,"rw_base"
"86","4tcxev3874jk89a","25",0.0530068854979944,"rw_base"
"87","4tcxev3874jk89a","50",0.628488065069785,"rw_base"
"88","4tcxev3874jk89a","50",0.628488065069785,"rw_base"
"89","4tcxev3874jk89a","75",0.458130527095931,"rw_base"
"90","4tcxev3874jk89a","75",0.458130527095931,"rw_base"
"91","57znvber9kc1tnj","25",1.18393729010345e-16,"rw_base"
"92","57znvber9kc1tnj","25",1.18393729010345e-16,"rw_base"
"93","57znvber9kc1tnj","50",4.06296034873976e-09,"rw_base"
"94","57znvber9kc1tnj","50",4.06296034873976e-09,"rw_base"
"95","57znvber9kc1tnj","75",0.896181924699393,"rw_base"
