"task","response","stimulus","mix","rr","pu","sub","lambda","omega","alpha","alpha_extinction","n","reward","logll","condition"
0,0,0,NA,"2",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,21,"0",NA,"4"
0,0,0,NA,"2",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,22,"0",NA,"4"
0,0,0,NA,"2",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,23,"1",NA,"4"
0,0.3,0,NA,"2",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,24,"0",NA,"4"
0,0,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,1,"0",NA,"5"
0,0,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,2,"0",NA,"5"
0,0,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,3,"1",NA,"5"
0,0,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,4,"0",NA,"5"
0,0,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,5,"0",NA,"5"
0,0,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,6,"0",NA,"5"
0,0,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,7,"1",NA,"5"
0,0,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,8,"0",NA,"5"
0,0,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,9,"1",NA,"5"
0,0,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,10,"0",NA,"5"
0,0,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,11,"0",NA,"5"
0,0.14,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,12,"0",NA,"5"
0,0,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,13,"0",NA,"5"
0,0,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,14,"1",NA,"5"
0,0,0,NA,"1",NA,"a39zpu2zr3xl47k",NA,NA,NA,NA,15,"0",NA,"5"
