"","sub","rr","pu","lambda","omega","offset","model"
"116","5pgqs0v0feqyejp","25","low",1.2802926383582,0.5,0.0123456790123024,"value_alt"
"117","5pgqs0v0feqyejp","50","high",1.08367626886216,0.5,0.00407006609108751,"value_alt"
"118","5pgqs0v0feqyejp","50","low",1.31687242798347,0.5,0.0205761316872559,"value_alt"
"119","5pgqs0v0feqyejp","75","high",1.58207590306378,0.5,0.026063100136694,"value_alt"
"120","5pgqs0v0feqyejp","75","low",1.39917695473254,0.5,-0.0123456790123511,"value_alt"
"121","6be4c2orpqft8ul","25","high",1.17300129420878,0.166666666666667,0.183683924882431,"value_alt"
"122","6be4c2orpqft8ul","25","low",5,0.5,0,"value_alt"
"123","6be4c2orpqft8ul","50","high",2.66093232024816,0.166666666666667,-0.0534979423864379,"value_alt"
"124","6be4c2orpqft8ul","50","low",5,0.5,0,"value_alt"
"125","6be4c2orpqft8ul","75","high",2.50486358505422,0.166666666666667,-0.0521291118678392,"value_alt"
"126","6be4c2orpqft8ul","75","low",2.89593404803121,0.166666666666667,-0.111587268742057,"value_alt"
"127","6wyn194o3vd7jmv","25","high",0.95564700487039,0.5,-0.000344346774817095,"value_alt"
"128","6wyn194o3vd7jmv","25","low",0.665548950877163,0.5,-0.00068464393777401,"value_alt"
"129","6wyn194o3vd7jmv","50","high",0.92516384699225,0.5,-0.00872596089862732,"value_alt"
"130","6wyn194o3vd7jmv","50","low",0.80253573011603,0.5,-0.00555798459877299,"value_alt"
"131","6wyn194o3vd7jmv","75","high",3.70370370370392,0.5,-0.493106478521982,"value_alt"
"132","6wyn194o3vd7jmv","75","low",0.924317092743457,0.5,-0.0207906428250254,"value_alt"
"133","70kcrqfjf2xhh4m","25","high",1.07382028092307,0.166666666666667,0.135799207391257,"value_alt"
"134","70kcrqfjf2xhh4m","25","low",5,0.5,0,"value_alt"
"135","70kcrqfjf2xhh4m","50","high",1.89880924186227,0.166666666666667,0.0539586640189285,"value_alt"
"136","70kcrqfjf2xhh4m","50","low",2.28979322252475,0.166666666666667,0.012347885938037,"value_alt"
"137","70kcrqfjf2xhh4m","75","high",5,0.5,0,"value_alt"
"138","70kcrqfjf2xhh4m","75","low",2.82633222810498,0.166666666666667,-0.13376060415176,"value_alt"
"139","7bwng7h1w9q6djl","25","high",2.22222222222419,0.166666666666667,0.00931648710961275,"value_alt"
"140","7bwng7h1w9q6djl","25","low",1.06039633075634,0.166666666666667,0.0574855055398646,"value_alt"
"141","7bwng7h1w9q6djl","50","high",3.7080398808977,0.166666666666667,-0.00635043336595453,"value_alt"
