,subject,pu0,pu1
134,nshroqsku7cv436,0.8833333333333333,0.8333333333333334
135,nvk3jd25saegh24,0.7833333333333333,0.6166666666666667
136,ocssdtxqjomtsth,0.8166666666666667,0.5166666666666667
137,oemn8dnelyez9dr,0.7833333333333333,0.55
138,oeu4jokoabrwtua,0.8,0.6
139,ouqywsdvynl19bp,0.7166666666666667,0.5333333333333333
140,owmmv6k6ej5qh0r,0.75,0.5666666666666667
141,p0ptwsbjrbx9q9b,0.7666666666666667,0.5833333333333334
142,p2a48lrzlrj6fsb,0.7166666666666667,0.5333333333333333
143,p2sp49zl9919q87,0.7,0.55
144,p2v49387cgj37sn,0.8166666666666667,0.6
145,p4bl6h83l6mxnwz,0.65,0.4
146,p6j0lgnrdnp5hqw,0.75,0.5333333333333333
147,pjp6ertnjw1vb6j,0.75,0.6
148,pojfe0tpsdoned2,0.8333333333333334,0.6
149,puae2gctgkn4ho8,0.6666666666666666,0.5
150,pv8gfb6dwc0u8md,0.8,0.6
151,q1p6hsj3a9wrr1p,0.6833333333333333,0.5833333333333334
152,q4o2n439h3o4hux,0.85,0.6166666666666667
153,q6otspomd8umpfj,0.7666666666666667,0.43333333333333335
154,qeaducsgetncgeb,0.85,0.6166666666666667
155,qreecv8wv03uqw8,0.8,0.6166666666666667
156,qul606qyfeuydwf,0.8166666666666667,0.5666666666666667
157,qw7q50m2o58ugvl,0.8,0.6
158,r018cukle69r1bf,0.7166666666666667,0.5833333333333334
159,rdupsdp465ntk6q,0.8333333333333334,0.6333333333333333
160,re53t0m5rdemzxb,0.8166666666666667,0.5666666666666667
161,regcubm60dchcxr,0.8166666666666667,0.5333333333333333
162,rf8fvjnsk6r07uc,0.7666666666666667,0.5333333333333333
163,rn0an20lmaomk57,0.8,0.5666666666666667
164,rxol1dxl6nen4em,0.7666666666666667,0.6
165,ryf84f70g5thl4l,0.75,0.6
166,s79rv87vd0ov68q,0.8,0.5666666666666667
167,s7enbyv4of56b3e,0.8333333333333334,0.6
168,sh3z56uk3q0ddzd,0.8166666666666667,0.6333333333333333
169,sr2txzbp1x3x7xu,0.8333333333333334,0.6166666666666667
170,srpavyhwawz1j4f,0.7,0.5833333333333334
171,ssbsk72ruz2tdg1,0.7833333333333333,0.5333333333333333
172,swmufx7egboodpe,0.8833333333333333,0.6166666666666667
173,t53tjn7r8ydtmtq,0.75,0.5666666666666667
174,t6cgffrl2a875wr,0.7333333333333333,0.5
175,tfzsaz8h4rua9hm,0.7166666666666667,0.48333333333333334
176,tk2emgkdo0xmkfn,0.7333333333333333,0.5333333333333333
177,u22e26jm4cy25av,0.8166666666666667,0.6333333333333333
178,u556z6wn629kwu5,0.8,0.48333333333333334
179,u5kwzdtotz39jwp,0.75,0.5666666666666667
180,uaf4fed1xj02ps4,0.7666666666666667,0.55
181,ug2w7q3f6pgxf6e,0.8,0.6666666666666666
182,unp160hltucmgwb,0.7333333333333333,0.6
183,v1q2why8n7sann7,0.8666666666666667,0.6166666666666667
184,v2rgepeoz23lhyb,0.7833333333333333,0.55
185,vbk9loz7eg3eo6s,0.7166666666666667,0.5166666666666667
186,vgcflf6f0nxe8tt,0.9666666666666667,0.8833333333333333
187,vnoz56ecccya7hk,0.75,0.5666666666666667
188,w6pajch9t65cj07,0.36666666666666664,0.31666666666666665
189,wey1upork0e0epr,0.7833333333333333,0.5833333333333334
190,wf4mq2s0e98ce4z,0.8166666666666667,0.6166666666666667
191,ws44qtt9xen2xsl,0.8166666666666667,0.5833333333333334
192,wwv18727elhq22u,0.8333333333333334,0.6
193,wx6wj654e49s6of,0.8909090909090909,0.7
194,x0nfe7hwu2yt5az,0.7833333333333333,0.5333333333333333
195,x0ztn8ulz4wsjnf,0.75,0.5333333333333333
196,x31a150jh7x0sc3,0.7,0.55
197,x6cu75oy88jq32r,0.8,0.55
198,x8law3bwbr5x4um,0.7333333333333333,0.48333333333333334
199,xazdw7q49mfrccu,0.7166666666666667,0.5333333333333333
200,y71fvh7ol8vycb2,0.7666666666666667,0.5833333333333334
201,yh55038bo4e9rhm,0.7333333333333333,0.5166666666666667
202,z7z5ejt5cs81lbt,0.7,0.5333333333333333
203,zdzld8scpb2ydmo,0.75,0.5833333333333334
204,zg0zoa2qo7tsvnk,0.6833333333333333,0.4666666666666667
205,zqr31esvemh6qkz,0.7666666666666667,0.5833333333333334
206,zw8s7wsog20kbc4,0.18333333333333332,0.1
207,zwxx44lymw33vjg,0.7666666666666667,0.48333333333333334
