,subject,condition,pu,step
139,5cp1qjka53bl73q,1.0,1.0,15.75
140,5cp1qjka53bl73q,2.0,0.0,23.75
141,5cp1qjka53bl73q,3.0,1.0,18.0
142,5cp1qjka53bl73q,4.0,0.0,23.75
143,5cp1qjka53bl73q,5.0,1.0,17.25
144,5jwar0bvwr53h40,0.0,1.0,9.75
145,5jwar0bvwr53h40,1.0,0.0,17.5
146,5jwar0bvwr53h40,2.0,0.0,19.75
147,5jwar0bvwr53h40,3.0,1.0,10.75
148,5jwar0bvwr53h40,4.0,1.0,10.5
149,5jwar0bvwr53h40,5.0,0.0,21.5
150,5o4n9abwu4u5bb5,0.0,0.0,16.0
151,5o4n9abwu4u5bb5,1.0,1.0,10.5
152,5o4n9abwu4u5bb5,2.0,1.0,5.95
153,5o4n9abwu4u5bb5,3.0,0.0,15.75
154,5o4n9abwu4u5bb5,4.0,0.0,18.25
155,5o4n9abwu4u5bb5,5.0,1.0,7.75
156,5odjbv4o99zlp3l,0.0,0.0,31.0
157,5odjbv4o99zlp3l,1.0,1.0,22.0
158,5odjbv4o99zlp3l,2.0,1.0,25.25
159,5odjbv4o99zlp3l,3.0,0.0,25.0
160,5odjbv4o99zlp3l,4.0,0.0,24.5
161,5odjbv4o99zlp3l,5.0,1.0,14.5
162,5pgqs0v0feqyejp,0.0,0.0,18.25
163,5pgqs0v0feqyejp,1.0,1.0,15.25
164,5pgqs0v0feqyejp,2.0,1.0,17.0
165,5pgqs0v0feqyejp,3.0,0.0,19.0
166,5pgqs0v0feqyejp,4.0,0.0,22.0
167,5pgqs0v0feqyejp,5.0,1.0,17.75
168,5ryl841c85p9gqt,0.0,1.0,4.6
169,5ryl841c85p9gqt,1.0,0.0,18.25
170,5ryl841c85p9gqt,2.0,0.0,23.75
171,5ryl841c85p9gqt,3.0,1.0,4.8
172,5ryl841c85p9gqt,4.0,1.0,16.25
173,5ryl841c85p9gqt,5.0,0.0,29.25
174,5wfba9dut71p4ow,0.0,0.0,28.5
175,5wfba9dut71p4ow,1.0,1.0,14.0
176,5wfba9dut71p4ow,2.0,0.0,28.75
177,5wfba9dut71p4ow,3.0,1.0,12.75
178,5wfba9dut71p4ow,4.0,0.0,19.25
179,5wfba9dut71p4ow,5.0,1.0,13.5
180,6be4c2orpqft8ul,0.0,0.0,20.0
181,6be4c2orpqft8ul,1.0,1.0,17.5
182,6be4c2orpqft8ul,2.0,1.0,15.75
183,6be4c2orpqft8ul,3.0,0.0,20.5
184,6be4c2orpqft8ul,4.0,0.0,16.75
185,6be4c2orpqft8ul,5.0,1.0,12.5
186,6q9betgq5hv5wl1,0.0,0.0,50.25
187,6q9betgq5hv5wl1,1.0,1.0,40.5
188,6q9betgq5hv5wl1,2.0,0.0,53.0
189,6q9betgq5hv5wl1,3.0,1.0,40.5
190,6q9betgq5hv5wl1,4.0,0.0,51.25
191,6q9betgq5hv5wl1,5.0,1.0,33.75
192,6wyn194o3vd7jmv,0.0,0.0,17.25
193,6wyn194o3vd7jmv,1.0,1.0,10.25
194,6wyn194o3vd7jmv,2.0,1.0,9.25
195,6wyn194o3vd7jmv,3.0,0.0,18.75
196,6wyn194o3vd7jmv,4.0,0.0,15.25
197,6wyn194o3vd7jmv,5.0,1.0,10.25
198,70kcrqfjf2xhh4m,0.0,0.0,23.25
199,70kcrqfjf2xhh4m,1.0,1.0,19.25
200,70kcrqfjf2xhh4m,2.0,1.0,16.75
201,70kcrqfjf2xhh4m,3.0,0.0,21.0
202,70kcrqfjf2xhh4m,4.0,0.0,20.5
203,70kcrqfjf2xhh4m,5.0,1.0,13.25
204,7bwng7h1w9q6djl,0.0,0.0,19.5
205,7bwng7h1w9q6djl,1.0,1.0,18.25
206,7bwng7h1w9q6djl,2.0,0.0,21.5
207,7bwng7h1w9q6djl,3.0,1.0,16.75
208,7bwng7h1w9q6djl,4.0,0.0,16.0
209,7bwng7h1w9q6djl,5.0,1.0,16.0
210,7pjw0pz87exlgmd,0.0,1.0,12.75
