"","sub","model","rr","pu","omega","lambda","offset","bestfit"
"79","4ns4fa2xqw95lgx","value_alt_offset",1,1,0.166666666666667,4.74160123300379,0.0219444459996023,"value_alt_offset"
"80","4ns4fa2xqw95lgx","value_alt_offset",1,2,0.166666666666667,6.66666666666863,0.0122222214515637,"value_alt_offset"
"81","4ns4fa2xqw95lgx","value_alt_offset",2,1,0.166666666666667,6.66666666666674,0.0222222268573218,"value_alt_offset"
"82","4ns4fa2xqw95lgx","value_alt_offset",2,2,0.166666666666667,5.02694302520484,0.0416666656987261,"value_alt_offset"
"83","4ns4fa2xqw95lgx","value_alt_offset",3,1,0.166666666666667,7.86839826894132,-0.0222222268683369,"value_alt_offset"
"84","4ns4fa2xqw95lgx","value_alt_offset",3,2,0.166666666666667,8.06601239151293,-0.00833333428693395,"perc_offset"
"85","4tcxev3874jk89a","value_alt_offset",1,1,0.166666666666667,1.12424308307556,0.222777778797342,"value_alt_offset"
"86","4tcxev3874jk89a","value_alt_offset",1,2,0.166666666666667,2.63480041353628,-0.00555555083774151,"value_alt_offset"
"87","4tcxev3874jk89a","value_alt_offset",2,1,0.166666666666667,2.06390559534933,-0.128326847473499,"value_alt_offset"
"88","4tcxev3874jk89a","value_alt_offset",2,2,0.166666666666667,2.96296296296362,-0.00583333457444812,"value_alt_offset"
"89","4tcxev3874jk89a","value_alt_offset",3,1,0.166666666666667,0.511268246034595,0.293333343382717,"value_alt_offset"
"90","4tcxev3874jk89a","value_alt_offset",3,2,0.166666666666667,9.9999999999998,-0.349166664176641,"value_alt_offset"
"91","57znvber9kc1tnj","value_alt_offset",1,1,0.5,0.919067215363585,-0.0233196159122135,"value_alt_offset"
"92","57znvber9kc1tnj","value_alt_offset",1,2,0.5,1.66193425029129,-0.0247496899619429,"value_alt_offset"
"93","57znvber9kc1tnj","value_alt_offset",2,1,0.5,1.11111111111111,0.0259226016061285,"value_alt_offset"
"94","57znvber9kc1tnj","value_alt_offset",2,2,0.5,1.50180358729813,-0.0452674897120556,"value_alt_offset"
"95","57znvber9kc1tnj","value_alt_offset",3,1,0.5,0.804755372655952,-0.0672153635115287,"value_alt_offset"
"96","57znvber9kc1tnj","value_alt_offset",3,2,0.5,1.6872427983467,-0.102880658434773,"value_alt_offset"
"97","5cp1qjka53bl73q","value_alt_offset",1,1,0.5,0.370370370369277,0.0825663663034335,"perc_offset"
"98","5cp1qjka53bl73q","value_alt_offset",1,2,0.5,0.905349794238611,-0.0017200594324347,"perc_offset"
"99","5cp1qjka53bl73q","value_alt_offset",2,1,0.5,0.809327846364908,-0.0370370370370505,"perc_offset"
"100","5cp1qjka53bl73q","value_alt_offset",2,2,0.5,0.535591630556912,0.0781893003938192,"value_alt_offset"
