"","sub","model","rr","pu","rho","offset","bestfit"
"94","57znvber9kc1tnj","perc_offset",2,2,0.228395061728395,0.128943758573388,"value_alt_offset"
"95","57znvber9kc1tnj","perc_offset",3,1,0.0308646156811805,0.115226335727777,"value_alt_offset"
"96","57znvber9kc1tnj","perc_offset",3,2,0.0679012345679013,0.241426611796982,"value_alt_offset"
"97","5cp1qjka53bl73q","perc_offset",1,1,0.117283950617284,0.074074074074074,"perc_offset"
"98","5cp1qjka53bl73q","perc_offset",1,2,0.203754508967129,-3.33066907387547e-16,"perc_offset"
"99","5cp1qjka53bl73q","perc_offset",2,1,0.129629632210804,-3.76335310969811e-06,"perc_offset"
"100","5cp1qjka53bl73q","perc_offset",2,2,0.0802469135802469,0.123456790123457,"value_alt_offset"
"101","5cp1qjka53bl73q","perc_offset",3,1,0.104938271604938,0.0411521239910466,"perc_offset"
"102","5cp1qjka53bl73q","perc_offset",3,2,0.191358016947834,0.148144384795302,"perc_offset"
"103","5jwar0bvwr53h40","perc_offset",1,1,0.117283958360808,0,"value_alt_offset"
"104","5jwar0bvwr53h40","perc_offset",1,2,0.816872427983539,0.444444444444444,"value_alt_offset"
"105","5jwar0bvwr53h40","perc_offset",2,1,0.952674897119342,0.666666666666667,"value_alt_offset"
"106","5jwar0bvwr53h40","perc_offset",2,2,0.376543209876543,0.320987654320988,"value_alt_offset"
"107","5jwar0bvwr53h40","perc_offset",3,1,0.831047096479195,0.880658436213992,"value_alt_offset"
"108","5jwar0bvwr53h40","perc_offset",3,2,0.347736625514403,0.567901234567901,"value_alt_offset"
"109","5o4n9abwu4u5bb5","perc_offset",1,1,0.0925869475633231,1.25445094867338e-06,"perc_offset"
"110","5o4n9abwu4u5bb5","perc_offset",1,2,0.126886145404664,0,"perc_offset"
"111","5o4n9abwu4u5bb5","perc_offset",2,1,0.227937814357567,0.222323832727829,"value_alt_offset"
"112","5o4n9abwu4u5bb5","perc_offset",2,2,0.0432098765432099,0.00548696844993146,"value_alt_offset"
"113","5o4n9abwu4u5bb5","perc_offset",3,1,0.166666666666667,0,"perc_offset"
"114","5o4n9abwu4u5bb5","perc_offset",3,2,0.18312764170818,0.222222222222222,"value_alt_offset"
"115","5pgqs0v0feqyejp","perc_offset",1,1,0.199588477369796,-0.00274348422496573,"value_alt_offset"
"116","5pgqs0v0feqyejp","perc_offset",1,2,0.425925925925926,0.148148148148148,"value_alt_offset"
"117","5pgqs0v0feqyejp","perc_offset",2,1,0.0843621399176955,0.176497485139461,"value_alt_offset"
"118","5pgqs0v0feqyejp","perc_offset",2,2,0.154320987654321,0.00812884214804654,"value_alt_offset"
"119","5pgqs0v0feqyejp","perc_offset",3,1,0.166666666666667,0.17283950617284,"value_alt_offset"
"120","5pgqs0v0feqyejp","perc_offset",3,2,0.141975308641975,0.246913580246914,"value_alt_offset"
"121","6be4c2orpqft8ul","perc_offset",1,1,0.977366255143989,0.370381660428909,"perc_offset"
"122","6be4c2orpqft8ul","perc_offset",1,2,0.977366255144033,0.444444444444444,"value_alt_offset"
"123","6be4c2orpqft8ul","perc_offset",2,1,0.425908990838118,0.54320987654321,"value_alt_offset"
"124","6be4c2orpqft8ul","perc_offset",2,2,0.58641975308642,0.395061728394974,"value_alt_offset"
"125","6be4c2orpqft8ul","perc_offset",3,1,0.936213991769547,0.510288065843621,"value_alt_offset"
"126","6be4c2orpqft8ul","perc_offset",3,2,0.866255144032922,0.559670781893004,"value_alt_offset"
"127","6wyn194o3vd7jmv","perc_offset",1,1,0.166666666666667,0,"perc_offset"
"128","6wyn194o3vd7jmv","perc_offset",1,2,0.241197988100946,0,"perc_offset"
"129","6wyn194o3vd7jmv","perc_offset",2,1,0.117893613778387,-0.00274348422496573,"perc_offset"
"130","6wyn194o3vd7jmv","perc_offset",2,2,0.129172382258802,-0.000101610526850537,"value_alt_offset"
"131","6wyn194o3vd7jmv","perc_offset",3,1,0.0921353452217699,0,"value_alt_offset"
"132","6wyn194o3vd7jmv","perc_offset",3,2,0.170798828091924,-0.00823045267489708,"value_alt_offset"
"133","70kcrqfjf2xhh4m","perc_offset",1,1,0.870319565106945,0.296296296296296,"value_alt_offset"
"134","70kcrqfjf2xhh4m","perc_offset",1,2,0.611111111111111,0.362139917695473,"value_alt_offset"
"135","70kcrqfjf2xhh4m","perc_offset",2,1,0.722222222222222,0.493827160493827,"value_alt_offset"
"136","70kcrqfjf2xhh4m","perc_offset",2,2,0.738683127572016,0.510291829196467,"value_alt_offset"
"137","70kcrqfjf2xhh4m","perc_offset",3,1,0.808641975308627,0.641975308641975,"value_alt_offset"
"138","70kcrqfjf2xhh4m","perc_offset",3,2,0.594650205793183,0.666666666666667,"value_alt_offset"
"139","7bwng7h1w9q6djl","perc_offset",1,1,0.90695016003658,0.296296296296296,"value_alt_offset"
"140","7bwng7h1w9q6djl","perc_offset",1,2,0.314662399024539,0.255144079382957,"value_alt_offset"
"141","7bwng7h1w9q6djl","perc_offset",2,1,0.742798353909465,0.469135802469136,"value_alt_offset"
"142","7bwng7h1w9q6djl","perc_offset",2,2,0.45473251028811,0.501143119000663,"value_alt_offset"
"143","7bwng7h1w9q6djl","perc_offset",3,1,0.709876542923079,0.518518518518518,"value_alt_offset"
"144","7bwng7h1w9q6djl","perc_offset",3,2,0.759259259227435,0.666971498247218,"value_alt_offset"
"145","7pjw0pz87exlgmd","perc_offset",1,1,0.68523599044861,0.419753086419753,"value_alt_offset"
"146","7pjw0pz87exlgmd","perc_offset",1,2,0.648148148148148,0.295991464716007,"value_alt_offset"
"147","7pjw0pz87exlgmd","perc_offset",2,1,0.952674897119342,0.444444444444444,"value_alt_offset"
"148","7pjw0pz87exlgmd","perc_offset",2,2,0.524691358024691,0.477366255144033,"value_alt_offset"
"149","7pjw0pz87exlgmd","perc_offset",3,1,0.981481481481481,0.592603882651132,"value_alt_offset"
"150","7pjw0pz87exlgmd","perc_offset",3,2,0.820987654320988,0.716049382716049,"value_alt_offset"
"151","85aq8xl8ayntz3l","perc_offset",1,1,0.537037037037037,0.320987654320988,"value_alt_offset"
"152","85aq8xl8ayntz3l","perc_offset",1,2,0.129477213743755,0.148148148148148,"value_alt_offset"
"153","85aq8xl8ayntz3l","perc_offset",2,1,0.5,0.518518518518518,"value_alt_offset"
"154","85aq8xl8ayntz3l","perc_offset",2,2,0.388888888888889,0.443225112959887,"value_alt_offset"
"155","85aq8xl8ayntz3l","perc_offset",3,1,0.537036967345318,0.732510241604697,"perc_offset"
"156","85aq8xl8ayntz3l","perc_offset",3,2,0.15843621399177,0.534979423868313,"value_alt_offset"
"157","8epzoljwn0gbtge","perc_offset",1,1,0.932098765430918,0.567901239730251,"value_alt_offset"
"158","8epzoljwn0gbtge","perc_offset",1,2,0.837448559670782,0.603566529492455,"value_alt_offset"
"159","8epzoljwn0gbtge","perc_offset",2,1,0.755144032921811,0.502057613168724,"value_alt_offset"
"160","8epzoljwn0gbtge","perc_offset",2,2,0.611111111111111,0.666666666666667,"value_alt_offset"
"161","8epzoljwn0gbtge","perc_offset",3,1,0.751028806584362,0.609053497942387,"value_alt_offset"
"162","8epzoljwn0gbtge","perc_offset",3,2,0.919753086419753,0.568002845094752,"value_alt_offset"
"163","8es63ovt8uw2mgg","perc_offset",1,1,0.191358024978155,0.074074074074074,"perc_offset"
"164","8es63ovt8uw2mgg","perc_offset",1,2,0.0596707818930041,0.156378600823045,"perc_offset"
"165","8es63ovt8uw2mgg","perc_offset",2,1,0.0802469135802469,-3.76335258411853e-06,"value_alt_offset"
"166","8es63ovt8uw2mgg","perc_offset",2,2,0.167123914037494,0.00274348422505311,"value_alt_offset"
"167","8es63ovt8uw2mgg","perc_offset",3,1,0.166836017544751,1.91198168408846e-10,"value_alt_offset"
"168","8es63ovt8uw2mgg","perc_offset",3,2,0.0432098765428165,0,"value_alt_offset"
"169","8le0rzndxgpur8r","perc_offset",1,1,0.41358024691358,0.271604938271605,"value_alt_offset"
"170","8le0rzndxgpur8r","perc_offset",1,2,0.611111111111111,0.222222222222222,"perc_offset"
"171","8le0rzndxgpur8r","perc_offset",2,1,0.146090534979424,0.17283950617284,"value_alt_offset"
"172","8le0rzndxgpur8r","perc_offset",2,2,0.685185185185185,0.370370370370458,"perc_offset"
"173","8le0rzndxgpur8r","perc_offset",3,1,0.220164609053498,0.271604938271605,"value_alt_offset"
"174","8le0rzndxgpur8r","perc_offset",3,2,0.549382715188991,0.427983539093863,"perc_offset"
"175","96deaxjjts0yvax","perc_offset",1,1,0.5,0.224965706447188,"value_alt_offset"
"176","96deaxjjts0yvax","perc_offset",1,2,0.722222222222222,0.222222222222222,"value_alt_offset"
"177","96deaxjjts0yvax","perc_offset",2,1,0.253086419753086,0.493827160493827,"value_alt_offset"
"178","96deaxjjts0yvax","perc_offset",2,2,0.40123394067576,0.485597962269878,"value_alt_offset"
"179","96deaxjjts0yvax","perc_offset",3,1,0.180384087791495,0.74074074074074,"perc_offset"
"180","96deaxjjts0yvax","perc_offset",3,2,0.598765432098765,0.75720164551694,"perc_offset"
"181","9h1m4d4lp6ksfjt","perc_offset",1,1,0.944444444444444,0.222222222222222,"value_alt_offset"
"182","9h1m4d4lp6ksfjt","perc_offset",1,2,0.944442562768021,0.370370370434103,"value_alt_offset"
"183","9h1m4d4lp6ksfjt","perc_offset",2,1,0.870827617741198,0.411522633744856,"value_alt_offset"
"184","9h1m4d4lp6ksfjt","perc_offset",2,2,0.734567901234568,0.353909465020605,"value_alt_offset"
"185","9h1m4d4lp6ksfjt","perc_offset",3,1,0.952674897119342,0.37037037037037,"value_alt_offset"
"186","9h1m4d4lp6ksfjt","perc_offset",3,2,0.907407407407407,0.493827160493798,"value_alt_offset"
"187","9ho9tv1b4jdy3p6","perc_offset",1,1,0.890946502057613,0.00823045267489708,"value_alt_offset"
"188","9ho9tv1b4jdy3p6","perc_offset",1,2,0.611111113692286,0.296601127876936,"value_alt_offset"
"189","9ho9tv1b4jdy3p6","perc_offset",2,1,0.425925925639129,0.48559670781893,"value_alt_offset"
"190","9ho9tv1b4jdy3p6","perc_offset",2,2,0.524691358024691,0.320987654320988,"value_alt_offset"
"191","9ho9tv1b4jdy3p6","perc_offset",3,1,0.759259259259259,0.52583447645176,"value_alt_offset"
"192","9ho9tv1b4jdy3p6","perc_offset",3,2,0.619341563786008,0.781893004115226,"value_alt_offset"
"193","9jfa3uck1pm1a27","perc_offset",1,1,0.372427983539095,0.279835390946502,"value_alt_offset"
"194","9jfa3uck1pm1a27","perc_offset",1,2,0.5,0.296296296296296,"value_alt_offset"
"195","9jfa3uck1pm1a27","perc_offset",2,1,0.746913580246913,0.419753086419753,"value_alt_offset"
"196","9jfa3uck1pm1a27","perc_offset",2,2,0.767489084708682,0.641975308641975,"value_alt_offset"
"197","9jfa3uck1pm1a27","perc_offset",3,1,0.635802469135802,0.729766803840878,"value_alt_offset"
"198","9jfa3uck1pm1a27","perc_offset",3,2,0.83196166091257,0.669409732741316,"value_alt_offset"
"199","9oe8onshjdy2khe","perc_offset",1,1,0.0573921414362781,0,"perc_offset"
"200","9oe8onshjdy2khe","perc_offset",1,2,0.166209419295839,0.00274348422496562,"value_alt_offset"
"201","9oe8onshjdy2khe","perc_offset",2,1,0.109053497942387,1.25445094867338e-06,"value_alt_offset"
"202","9oe8onshjdy2khe","perc_offset",2,2,0.0925982379086593,0,"value_alt_offset"
"203","9oe8onshjdy2khe","perc_offset",3,1,0.0802469135802469,-0.00274348422496573,"value_alt_offset"
"204","9oe8onshjdy2khe","perc_offset",3,2,0.15843621399177,0.222222175761076,"value_alt_offset"
"205","9p57f5mpldrqae2","perc_offset",1,1,0.722222222222222,0.148148148148148,"value_alt_offset"
"206","9p57f5mpldrqae2","perc_offset",1,2,0.427297668038409,0.222527053802774,"value_alt_offset"
"207","9p57f5mpldrqae2","perc_offset",2,1,0.87037037037037,0.445358939186099,"value_alt_offset"
"208","9p57f5mpldrqae2","perc_offset",2,2,0.376543837102018,0.222222222222222,"value_alt_offset"
"209","9p57f5mpldrqae2","perc_offset",3,1,0.166666666666667,0.271604938271634,"value_alt_offset"
"210","9p57f5mpldrqae2","perc_offset",3,2,0.932539077715118,0.768175582990398,"value_alt_offset"
"211","a39zpu2zr3xl47k","perc_offset",1,1,0.277777777777778,0.0246913580246915,"value_alt_offset"
"212","a39zpu2zr3xl47k","perc_offset",1,2,0.81006452268455,1.11022302462516e-15,"value_alt_offset"
"213","a39zpu2zr3xl47k","perc_offset",2,1,0.265432098765432,0.296296296296296,"value_alt_offset"
"214","a39zpu2zr3xl47k","perc_offset",2,2,0.364197530864198,0.320987654320988,"value_alt_offset"
"215","a39zpu2zr3xl47k","perc_offset",3,1,0.427297668038409,0.458161865569273,"value_alt_offset"
"216","a39zpu2zr3xl47k","perc_offset",3,2,0.364197530864198,0.455407091285768,"value_alt_offset"
"217","ajztaxb5eyxtfch","perc_offset",1,1,0.907409289083831,0.37037037553272,"value_alt_offset"
"218","ajztaxb5eyxtfch","perc_offset",1,2,0.820987654320988,0.444444444444532,"value_alt_offset"
"219","ajztaxb5eyxtfch","perc_offset",2,1,0.907407407407407,0.37037037037037,"value_alt_offset"
"220","ajztaxb5eyxtfch","perc_offset",2,2,0.393004115226337,0.515775034293553,"value_alt_offset"
"221","ajztaxb5eyxtfch","perc_offset",3,1,0.771605565497079,0.452674897119341,"value_alt_offset"
"222","ajztaxb5eyxtfch","perc_offset",3,2,0.602880658436214,0.518518518518518,"value_alt_offset"
"223","as5hvtlqa9ouc2z","perc_offset",1,1,0.91838134430727,0.395061728395062,"value_alt_offset"
"224","as5hvtlqa9ouc2z","perc_offset",1,2,0.709876543209891,0.452674897119341,"value_alt_offset"
"225","as5hvtlqa9ouc2z","perc_offset",2,1,0.475308641975309,0.617283950617284,"value_alt_offset"
"226","as5hvtlqa9ouc2z","perc_offset",2,2,0.648757811309252,0.666666666666667,"value_alt_offset"
"227","as5hvtlqa9ouc2z","perc_offset",3,1,0.903292181069959,0.666666666666667,"value_alt_offset"
"228","as5hvtlqa9ouc2z","perc_offset",3,2,0.940329218106996,0.674897119341564,"value_alt_offset"
"229","au7m9jjmgy8d4gj","perc_offset",1,1,0.00205761316872431,0.06187503418282,"value_alt_offset"
"230","au7m9jjmgy8d4gj","perc_offset",1,2,0.166514250876391,0.139917695473251,"value_alt_offset"
"231","au7m9jjmgy8d4gj","perc_offset",2,1,0.12962962962963,0.17283950617284,"value_alt_offset"
"232","au7m9jjmgy8d4gj","perc_offset",2,2,0.030864197563124,0.0987315619231486,"value_alt_offset"
"233","au7m9jjmgy8d4gj","perc_offset",3,1,0.0180104658842656,0.0238784738098867,"perc_offset"
"234","au7m9jjmgy8d4gj","perc_offset",3,2,0.0925925925925926,0.17283950617284,"value_alt_offset"
"235","b3jqszmpuje1kzj","perc_offset",1,1,0.364197530864193,0.320987654320988,"value_alt_offset"
"236","b3jqszmpuje1kzj","perc_offset",1,2,0.462962955219439,0.222222222222222,"value_alt_offset"
"237","b3jqszmpuje1kzj","perc_offset",2,1,0.253086419753086,0.469135802469135,"value_alt_offset"
"238","b3jqszmpuje1kzj","perc_offset",2,2,0.232510288065844,0.469135802469136,"value_alt_offset"
"239","b3jqszmpuje1kzj","perc_offset",3,1,0.796753543762723,0.666666666666667,"value_alt_offset"
"240","b3jqszmpuje1kzj","perc_offset",3,2,0.965020576131687,0.716049382716049,"value_alt_offset"
"241","bdov3ye1qvundbp","perc_offset",1,1,0.606990239744393,0.441700960218692,"value_alt_offset"
"242","bdov3ye1qvundbp","perc_offset",1,2,0.510973936899863,0.493827160493827,"value_alt_offset"
"243","bdov3ye1qvundbp","perc_offset",2,1,0.487654320987654,0.518518518518518,"value_alt_offset"
"244","bdov3ye1qvundbp","perc_offset",2,2,0.043057460752934,0.44444449090559,"value_alt_offset"
"245","bdov3ye1qvundbp","perc_offset",3,1,0.195470742126909,0.515763744235014,"value_alt_offset"
"246","bdov3ye1qvundbp","perc_offset",3,2,0.2777777777884,0.518518518518518,"value_alt_offset"
"247","brsvshywlogvxcq","perc_offset",1,1,0.0185164277669373,-1.4025445246868e-05,"perc_offset"
"248","brsvshywlogvxcq","perc_offset",1,2,0.150188826229064,1.25445094867338e-06,"value_alt_offset"
"249","brsvshywlogvxcq","perc_offset",2,1,0.103718945282731,-0.00274348422496573,"perc_offset"
"250","brsvshywlogvxcq","perc_offset",2,2,0.0550983081847279,-0.00274348422496573,"perc_offset"
"251","brsvshywlogvxcq","perc_offset",3,1,0.051440329218107,3.51246265752891e-05,"perc_offset"
"252","brsvshywlogvxcq","perc_offset",3,2,0.0514911344815323,-1.11022302462516e-15,"value_alt_offset"
"253","bx1xq7e3jhb986v","perc_offset",1,1,0.565843621399177,0.411522633744856,"value_alt_offset"
"254","bx1xq7e3jhb986v","perc_offset",1,2,0.179012345679012,0.37026875984352,"value_alt_offset"
"255","bx1xq7e3jhb986v","perc_offset",2,1,0.660493827160494,0.419753086419753,"value_alt_offset"
"256","bx1xq7e3jhb986v","perc_offset",2,2,0.41358024691358,0.37037037037037,"value_alt_offset"
"257","bx1xq7e3jhb986v","perc_offset",3,1,0.820993926575731,0.666666666666657,"value_alt_offset"
"258","bx1xq7e3jhb986v","perc_offset",3,2,0.870370370370365,0.444444444444444,"value_alt_offset"
"259","c2se350v0tr4hzv","perc_offset",1,1,0.277777777777778,0.222222222222222,"value_alt_offset"
"260","c2se350v0tr4hzv","perc_offset",1,2,0.623456790123457,0.222222222222222,"value_alt_offset"
"261","c2se350v0tr4hzv","perc_offset",2,1,0.833333333333333,0.469135802469135,"value_alt_offset"
"262","c2se350v0tr4hzv","perc_offset",2,2,0.425925925925926,0.444444444444444,"value_alt_offset"
"263","c2se350v0tr4hzv","perc_offset",3,1,0.738683127572016,0.683127572016461,"value_alt_offset"
"264","c2se350v0tr4hzv","perc_offset",3,2,0.672839506172839,0.542261511625937,"value_alt_offset"
"265","cavjhtxfs1z091j","perc_offset",1,1,0.0569279481240859,0.000914494741655281,"perc_offset"
