"","sub","pu","ou","full_offset","perc_offset","value_alt_offset","bestfit","rr"
"98","5cp1qjka53bl73q",2,1,246.742082756038,240.1733780114,243.281209279975,"perc_offset",1
"99","5cp1qjka53bl73q",1,2,252.976463034523,246.125690290505,249.319291478937,"perc_offset",2
"100","5cp1qjka53bl73q",2,2,325.558049425166,322.005202467438,321.887516350248,"value_alt_offset",2
"101","5cp1qjka53bl73q",1,3,274.866766261895,260.21418015768,271.617751616868,"perc_offset",3
"102","5cp1qjka53bl73q",2,3,324.449828049982,341.486511998513,326.505297514127,"full_offset",3
"103","5jwar0bvwr53h40",1,1,248.422345282136,251.489269349843,245.035602828546,"value_alt_offset",1
"104","5jwar0bvwr53h40",2,1,251.693715754869,288.414609257396,248.453658861875,"value_alt_offset",1
"105","5jwar0bvwr53h40",1,2,249.781719491498,258.075398168581,246.355700598061,"value_alt_offset",2
"106","5jwar0bvwr53h40",2,2,251.360024393728,265.799752552682,248.837583855183,"value_alt_offset",2
"107","5jwar0bvwr53h40",1,3,247.253287144827,244.817962507922,243.774145238146,"value_alt_offset",3
"108","5jwar0bvwr53h40",2,3,272.152249808305,294.310099272258,273.311048977405,"full_offset",3
"109","5o4n9abwu4u5bb5",1,1,248.60135811897,244.584700583125,245.496501682933,"perc_offset",1
"110","5o4n9abwu4u5bb5",2,1,250.010195198839,245.706265492336,247.185934204755,"perc_offset",1
"111","5o4n9abwu4u5bb5",1,2,265.981072332881,290.273794360865,266.530207953965,"full_offset",2
"112","5o4n9abwu4u5bb5",2,2,257.564447755666,256.210014228116,254.412942573828,"value_alt_offset",2
"113","5o4n9abwu4u5bb5",1,3,272.076152992549,279.826389028119,268.155993926212,"value_alt_offset",3
"114","5o4n9abwu4u5bb5",2,3,307.707118093271,323.150448895556,311.023312540414,"full_offset",3
"115","5pgqs0v0feqyejp",1,1,251.83704655016,283.094957915064,248.366803790431,"value_alt_offset",1
"116","5pgqs0v0feqyejp",2,1,256.941636423061,271.067900077075,255.615979385339,"value_alt_offset",1
"117","5pgqs0v0feqyejp",1,2,268.045327272602,305.733793724298,267.357634172486,"value_alt_offset",2
"118","5pgqs0v0feqyejp",2,2,256.849193854418,283.885484310894,253.753283134231,"value_alt_offset",2
"119","5pgqs0v0feqyejp",1,3,266.651200423494,304.04089105877,264.757040593474,"value_alt_offset",3
"120","5pgqs0v0feqyejp",2,3,285.12758218023,346.519384158034,282.543216229068,"value_alt_offset",3
"121","6be4c2orpqft8ul",1,1,358.897064220207,353.661319459975,360.941184140246,"perc_offset",1
"122","6be4c2orpqft8ul",2,1,253.148520195382,298.674310909635,250.991123345152,"value_alt_offset",1
"123","6be4c2orpqft8ul",1,2,249.751409134302,282.964109741772,246.657152280225,"value_alt_offset",2
"124","6be4c2orpqft8ul",2,2,264.245138050232,295.111217000844,264.471726756149,"full_offset",2
"125","6be4c2orpqft8ul",1,3,251.752737886822,295.095908277104,249.05107919906,"value_alt_offset",3
"126","6be4c2orpqft8ul",2,3,249.101794160587,309.192454573551,245.884910560884,"value_alt_offset",3
"127","6wyn194o3vd7jmv",1,1,247.655242369442,241.030163801631,244.043217232692,"perc_offset",1
"128","6wyn194o3vd7jmv",2,1,249.275552516315,243.698966751924,245.905333068613,"perc_offset",1
"129","6wyn194o3vd7jmv",1,2,253.872458699704,252.503102814459,252.018616727089,"value_alt_offset",2
"130","6wyn194o3vd7jmv",2,2,261.022136541959,267.2033483314,259.250019670748,"value_alt_offset",2
"131","6wyn194o3vd7jmv",1,3,279.936698082897,278.27927996689,279.090878556272,"perc_offset",3
"132","6wyn194o3vd7jmv",2,3,280.587090341679,298.444846472175,278.813507851282,"value_alt_offset",3
"133","70kcrqfjf2xhh4m",1,1,262.769735317894,319.683287251252,259.543663751294,"value_alt_offset",1
"134","70kcrqfjf2xhh4m",2,1,253.203018340849,300.117508922417,250.848672290251,"value_alt_offset",1
"135","70kcrqfjf2xhh4m",1,2,248.766581518009,285.818772604715,245.409287971018,"value_alt_offset",2
"136","70kcrqfjf2xhh4m",2,2,250.724609400448,318.920468223415,247.139596944274,"value_alt_offset",2
"137","70kcrqfjf2xhh4m",1,3,254.740892599238,316.283842039717,251.958856732535,"value_alt_offset",3
"138","70kcrqfjf2xhh4m",2,3,253.33413063336,290.985903568087,249.752989680348,"value_alt_offset",3
"139","7bwng7h1w9q6djl",1,1,273.267866666332,337.762679648043,270.746473117749,"value_alt_offset",1
"140","7bwng7h1w9q6djl",2,1,249.564426571584,273.252589336733,246.107468987802,"value_alt_offset",1
"141","7bwng7h1w9q6djl",1,2,250.269755467062,275.148331339883,247.224101604654,"value_alt_offset",2
"142","7bwng7h1w9q6djl",2,2,250.679900006634,277.312822142273,247.518425879912,"value_alt_offset",2
"143","7bwng7h1w9q6djl",1,3,252.075936540285,308.012086699373,249.34938059289,"value_alt_offset",3
"144","7bwng7h1w9q6djl",2,3,251.616719056576,307.232023902705,248.032968768937,"value_alt_offset",3
"145","7pjw0pz87exlgmd",1,1,257.578509872131,316.770909189473,254.261550930209,"value_alt_offset",1
"146","7pjw0pz87exlgmd",2,1,249.088518639443,287.920507706486,245.514907503155,"value_alt_offset",1
"147","7pjw0pz87exlgmd",1,2,248.45196300184,340.346683113937,244.868236140839,"value_alt_offset",2
"148","7pjw0pz87exlgmd",2,2,248.637767703849,275.428914159218,245.110895399187,"value_alt_offset",2
"149","7pjw0pz87exlgmd",1,3,250.22163222966,321.195492946792,247.024417616526,"value_alt_offset",3
"150","7pjw0pz87exlgmd",2,3,248.884194996477,266.117806994239,245.604344901601,"value_alt_offset",3
"151","85aq8xl8ayntz3l",1,1,269.081667157721,300.332044170507,266.661832466282,"value_alt_offset",1
"152","85aq8xl8ayntz3l",2,1,246.809615471764,257.883971788185,243.262210175158,"value_alt_offset",1
"153","85aq8xl8ayntz3l",1,2,248.684068995232,272.66425887762,245.42589361337,"value_alt_offset",2
"154","85aq8xl8ayntz3l",2,2,247.586712363047,252.19092278292,244.152206563414,"value_alt_offset",2
"155","85aq8xl8ayntz3l",1,3,246.838867152586,242.673269082639,243.33523869869,"perc_offset",3
"156","85aq8xl8ayntz3l",2,3,258.966790649793,264.795998663208,258.024768412131,"value_alt_offset",3
"157","8epzoljwn0gbtge",1,1,279.550754439901,303.081529234389,276.012707315823,"value_alt_offset",1
"158","8epzoljwn0gbtge",2,1,263.645393905935,300.962177314795,260.282129607497,"value_alt_offset",1
"159","8epzoljwn0gbtge",1,2,252.230917073372,320.11857125997,248.760004977857,"value_alt_offset",2
"160","8epzoljwn0gbtge",2,2,248.518134409759,256.827832172154,245.192308289298,"value_alt_offset",2
"161","8epzoljwn0gbtge",1,3,254.638467957618,304.881419797694,251.299078833475,"value_alt_offset",3
"162","8epzoljwn0gbtge",2,3,249.420466933318,257.394050007595,246.292616507859,"value_alt_offset",3
"163","8es63ovt8uw2mgg",1,1,296.952516693252,266.23255371816,294.889675140095,"perc_offset",1
"164","8es63ovt8uw2mgg",2,1,303.821587564831,289.793525542141,300.407137813905,"perc_offset",1
"165","8es63ovt8uw2mgg",1,2,250.444377493988,256.427329339894,246.910284697321,"value_alt_offset",2
"166","8es63ovt8uw2mgg",2,2,257.266884736501,281.863628759688,255.049819445752,"value_alt_offset",2
"167","8es63ovt8uw2mgg",1,3,266.135102550379,276.695588225671,262.503593861181,"value_alt_offset",3
"168","8es63ovt8uw2mgg",2,3,254.215957792568,290.541988168151,252.304822178013,"value_alt_offset",3
"169","8le0rzndxgpur8r",1,1,252.215824716819,265.388595086679,250.604767585496,"value_alt_offset",1
"170","8le0rzndxgpur8r",2,1,247.316339143238,254.16188111169,244.008430479783,"value_alt_offset",1
"171","8le0rzndxgpur8r",1,2,250.361345129138,267.88001234055,246.80153543838,"value_alt_offset",2
"172","8le0rzndxgpur8r",2,2,246.749712881149,257.974956524193,243.224182122338,"value_alt_offset",2
"173","8le0rzndxgpur8r",1,3,249.386996090935,277.154939899357,246.056187404436,"value_alt_offset",3
"174","8le0rzndxgpur8r",2,3,247.831002801419,243.019061024932,244.610385624879,"perc_offset",3
"175","96deaxjjts0yvax",1,1,246.469053369351,253.535218910254,242.923726435384,"value_alt_offset",1
"176","96deaxjjts0yvax",2,1,246.471751136661,255.701795571267,242.899025801275,"value_alt_offset",1
"177","96deaxjjts0yvax",1,2,246.933769379343,245.561272308361,243.679568746964,"value_alt_offset",2
"178","96deaxjjts0yvax",2,2,246.477860454361,252.948369565753,243.149784228743,"value_alt_offset",2
"179","96deaxjjts0yvax",1,3,246.58758093634,240.918290612208,243.123132891759,"perc_offset",3
"180","96deaxjjts0yvax",2,3,246.690239210741,241.053698367722,243.321839444693,"perc_offset",3
"181","9h1m4d4lp6ksfjt",1,1,262.080675983756,343.599803556832,259.124184697247,"value_alt_offset",1
"182","9h1m4d4lp6ksfjt",2,1,250.817879795571,295.392752298876,247.889878303285,"value_alt_offset",1
"183","9h1m4d4lp6ksfjt",1,2,249.919527370782,325.801550430043,246.555358403798,"value_alt_offset",2
"184","9h1m4d4lp6ksfjt",2,2,250.884291546454,301.086715023186,249.017443762753,"value_alt_offset",2
"185","9h1m4d4lp6ksfjt",1,3,249.966112568844,336.139733448233,246.405049260737,"value_alt_offset",3
