"","sub","model","rr","pu","rho","omega","lambda","offset","bestfit"
"79","4ns4fa2xqw95lgx","full_offset",1,1,0.166666666666667,0.242112482853224,4.87654320987654,0.0246913580246915,"value_alt_offset"
"80","4ns4fa2xqw95lgx","full_offset",1,2,0.0363003607173703,0.0759788533022057,6.8513437992176,0.0109739368998627,"perc_offset"
"81","4ns4fa2xqw95lgx","full_offset",2,1,0.0925925925924615,0.265432098765432,6.84727937813177,0.0246913580246915,"perc_offset"
"82","4ns4fa2xqw95lgx","full_offset",2,2,0.0267489711934157,0.178859929888737,5,0.0411522633744854,"value_alt_offset"
"83","4ns4fa2xqw95lgx","full_offset",3,1,0.0432098765432099,0.262688614540466,7.71604938271605,-0.0219478737997256,"value_alt_offset"
"84","4ns4fa2xqw95lgx","full_offset",3,2,0.0267487621182575,0.0185185185185185,8.08489559518366,-0.00823045273862977,"value_alt_offset"
"85","4tcxev3874jk89a","full_offset",1,1,0.203703703703704,0.12962962962963,0.555554858638362,0.222222222222222,"value_alt_offset"
"86","4tcxev3874jk89a","full_offset",1,2,0.166666666666667,0.0925925925925926,2.40740740740741,0,"value_alt_offset"
"87","4tcxev3874jk89a","full_offset",2,1,0.0679012345679013,0.12962962962963,2.1610018797948,-0.123456790123428,"value_alt_offset"
"88","4tcxev3874jk89a","full_offset",2,2,0.277777777777778,0.166666457591509,2.77777754547205,0,"value_alt_offset"
"89","4tcxev3874jk89a","full_offset",3,1,0.0925925925925926,0.216049382716049,0.551491134481533,0.296296296296296,"value_alt_offset"
"90","4tcxev3874jk89a","full_offset",3,2,0.644032924391874,0.759259259259259,6.48148148148148,-0.29629253294345,"value_alt_offset"
"91","57znvber9kc1tnj","full_offset",1,1,0.0596707818930041,0.611111111111111,0.925925925925926,0,"value_alt_offset"
"92","57znvber9kc1tnj","full_offset",1,2,0.0581466239902454,0.882716049382716,1.63923182441701,0,"value_alt_offset"
"93","57znvber9kc1tnj","full_offset",2,1,0.0185185185185185,0.853909465020576,1.17283948036109,0,"value_alt_offset"
"94","57znvber9kc1tnj","full_offset",2,2,0.0432098765432099,0.722222222222222,1.54320987654321,-0.0713305898491083,"value_alt_offset"
"95","57znvber9kc1tnj","full_offset",3,1,0.0555555555555556,0.944444444444444,0.925925925925926,-0.0740740740740741,"value_alt_offset"
"96","57znvber9kc1tnj","full_offset",3,2,0.137860082304527,0.833333333333333,1.54320987654321,-0.0740740740740741,"value_alt_offset"
"97","5cp1qjka53bl73q","full_offset",1,1,0.104938271604938,0.500050805263425,0.185185185185185,0.074074074074074,"perc_offset"
"98","5cp1qjka53bl73q","full_offset",1,2,0.0925925925925926,0.611111113692286,0.925925925925926,0,"perc_offset"
"99","5cp1qjka53bl73q","full_offset",2,1,0.0185693237819438,0.612482853223594,0.679012342811041,-5.16234954783812e-09,"perc_offset"
"100","5cp1qjka53bl73q","full_offset",2,2,0.0185185185185185,0.722222222222222,0.555555555555556,0.074074074074074,"value_alt_offset"
"101","5cp1qjka53bl73q","full_offset",3,1,0.0555555555555556,0.722222222222222,0.555555555555556,0.00274348422496562,"perc_offset"
"102","5cp1qjka53bl73q","full_offset",3,2,0.0925925925925926,0.944444444444444,1.2962962962963,0.074074074074074,"value_alt_offset"
"103","5jwar0bvwr53h40","full_offset",1,1,0.0432098765432099,0.500000209075158,1.50205761316872,0,"value_alt_offset"
"104","5jwar0bvwr53h40","full_offset",1,2,0.0267489711934157,0.12962962962963,2.11934156378601,0.0493827160493825,"value_alt_offset"
"105","5jwar0bvwr53h40","full_offset",2,1,0.0308641975308642,0.166666666666667,4.01234567901235,0.074074074074074,"value_alt_offset"
"106","5jwar0bvwr53h40","full_offset",2,2,0.0555555555555556,0.541152263374486,2.65432098765432,0,"value_alt_offset"
"107","5jwar0bvwr53h40","full_offset",3,1,0.0418381344307271,0.216049382716049,6.23456789263065,0.0246913580246915,"value_alt_offset"
"108","5jwar0bvwr53h40","full_offset",3,2,0.0555555555551622,0.512345679012346,2.90123456790123,0.0493827160493825,"value_alt_offset"
"109","5o4n9abwu4u5bb5","full_offset",1,1,0.0555555555555556,0.635802469135802,1.09053497942387,0,"perc_offset"
"110","5o4n9abwu4u5bb5","full_offset",1,2,0.104938271604938,0.549382716049383,0.925925925925926,0.00823045267489708,"perc_offset"
"111","5o4n9abwu4u5bb5","full_offset",2,1,0.388888888920755,0.364197530864198,3.31275720164609,-0.246913580246914,"value_alt_offset"
"112","5o4n9abwu4u5bb5","full_offset",2,2,0.170781893004115,0.932098765432099,0.596707818930041,0.0219478737997258,"value_alt_offset"
"113","5o4n9abwu4u5bb5","full_offset",3,1,0.0925925925925927,0.611111111111111,0.555555555555556,-0.000914493020872098,"value_alt_offset"
"114","5o4n9abwu4u5bb5","full_offset",3,2,0.203703703703704,0.606995884773663,1.66666666666667,0,"value_alt_offset"
"115","5pgqs0v0feqyejp","full_offset",1,1,0.0226337448559673,0.561728395061728,1.2962962962963,-0.00823045267489708,"value_alt_offset"
"116","5pgqs0v0feqyejp","full_offset",1,2,0.0555555555555556,0.709876543209876,1.6666854834309,0.074074074074074,"value_alt_offset"
"117","5pgqs0v0feqyejp","full_offset",2,1,0.0802469135802469,0.771604938271605,1.17283950617284,0,"value_alt_offset"
