"","sub","model","rr","pu","rho","bestfit"
"175","96deaxjjts0yvax","perc_offset",1,1,0.611111111111111,"value_alt_offset"
"176","96deaxjjts0yvax","perc_offset",1,2,0.598765432098765,"value_alt_offset"
"177","96deaxjjts0yvax","perc_offset",2,1,0.438271604938272,"value_alt_offset"
"178","96deaxjjts0yvax","perc_offset",2,2,0.569958847736626,"value_alt_offset"
"179","96deaxjjts0yvax","perc_offset",3,1,0.31572930955647,"perc_offset"
"180","96deaxjjts0yvax","perc_offset",3,2,0.420438957475995,"perc_offset"
"181","9h1m4d4lp6ksfjt","perc_offset",1,1,0.907407407407407,"value_alt_offset"
"182","9h1m4d4lp6ksfjt","perc_offset",1,2,0.796245281957713,"value_alt_offset"
"183","9h1m4d4lp6ksfjt","perc_offset",2,1,0.87037037037037,"value_alt_offset"
"184","9h1m4d4lp6ksfjt","perc_offset",2,2,0.919753086419753,"value_alt_offset"
"185","9h1m4d4lp6ksfjt","perc_offset",3,1,0.738683127572016,"value_alt_offset"
"186","9h1m4d4lp6ksfjt","perc_offset",3,2,0.808641975308642,"value_alt_offset"
"187","9ho9tv1b4jdy3p6","perc_offset",1,1,0.425925925925926,"value_alt_offset"
"188","9ho9tv1b4jdy3p6","perc_offset",1,2,0.487654320987654,"value_alt_offset"
"189","9ho9tv1b4jdy3p6","perc_offset",2,1,0.561728395061728,"value_alt_offset"
"190","9ho9tv1b4jdy3p6","perc_offset",2,2,0.623456790123457,"value_alt_offset"
"191","9ho9tv1b4jdy3p6","perc_offset",3,1,0.87037037037037,"value_alt_offset"
"192","9ho9tv1b4jdy3p6","perc_offset",3,2,0.47119341563786,"value_alt_offset"
"193","9jfa3uck1pm1a27","perc_offset",1,1,0.216049382716049,"value_alt_offset"
"194","9jfa3uck1pm1a27","perc_offset",1,2,0.351851851851852,"value_alt_offset"
"195","9jfa3uck1pm1a27","perc_offset",2,1,0.611111111111111,"value_alt_offset"
"196","9jfa3uck1pm1a27","perc_offset",2,2,0.606995884770122,"value_alt_offset"
"197","9jfa3uck1pm1a27","perc_offset",3,1,0.952674897119342,"value_alt_offset"
"198","9jfa3uck1pm1a27","perc_offset",3,2,0.723593964334705,"value_alt_offset"
"199","9oe8onshjdy2khe","perc_offset",1,1,0.129629629916427,"perc_offset"
"200","9oe8onshjdy2khe","perc_offset",1,2,0.179012345679012,"value_alt_offset"
